Manuel-Ruben-PF2-solid_clip	s-MPFSW1_clip	s-MPFSW2_clip	s-MPFSW3_clip	s-Mst-SWPF1_clip	s-Mst-SWPF2_clip	s-PFSW1_clip	s-PFSW10_clip	s-PFSW11_clip	s-PFSW12_clip	s-PFSW13_clip	s-PFSW14_clip	s-PFSW15_clip	s-PFSW16_clip	s-PFSW17_clip	s-PFSW18_clip	s-PFSW19_clip	s-PFSW2_clip	s-PFSW20_clip	s-PFSW3_clip	s-PFSW4_clip	s-PFSW5_clip	s-PFSW6_clip	s-PFSW7_clip	s-PFSW8_clip	s-PFSW9_clip	s-st-SWPF1_clip	s-st-SWPF2_clip	s-st-SWPF3_clip	s-st-SWPF4_clip	s-st-SWPF5_clip	s-st-SWPF6_clip	w-AT-112-1-MRFilter1_clip	w-AT-112-1-MRFilter2_clip	w-AT-114-1-MRFilter1_clip	w-AT-114-1-MRFilter2_clip	w-MPFSW1_clip	w-MPFSW2_clip	w-MPFSW3_clip	w-Mst-SW1_clip	w-Mst-SW2_clip	w-Mst-SWPF1_clip	w-Mst-SWPF2_clip	w-negativ-25c_clip	w-negativ-30c_clip	w-OriginalSW1_clip	w-OriginalSW2_clip	w-OriginalSW3_clip	w-PFSW1_clip	w-PFSW10_clip	w-PFSW11_clip	w-PFSW12_clip	w-PFSW13_clip	w-PFSW14_clip	w-PFSW15_clip	w-PFSW16_clip	w-PFSW17_clip	w-PFSW18_clip	w-PFSW19_clip	w-PFSW2_clip	w-PFSW20_clip	w-PFSW3_clip	w-PFSW4_clip	w-PFSW5_clip	w-PFSW6_clip	w-PFSW7_clip	w-PFSW8_clip	w-PFSW9_clip	w-st-SW1_clip	w-st-SW2_clip	w-st-SW3_clip	w-st-SW4_clip	w-st-SW5_clip	w-st-SW6_clip	w-st-SWPF1_clip	w-st-SWPF2_clip	w-st-SWPF3_clip	w-st-SWPF4_clip	w-st-SWPF5_clip	w-st-SWPF6_clip
asv62	0	71	55	33	1	0	0	31	199	263	57	9618	2945	110	135	101	66	0	23	0	0	0	1	0	0	3	0	0	0	0	0	1	0	1	1	2	15	34	93	0	1	0	0	1	0	0	0	2	0	1	9	19	3	5345	4528	91	30	49	163	0	168	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
asv63	1384	51	55	44	37	46	1212	60	89	64	40	85	77	43	90	76	56	1712	34	1653	525	209	130	221	121	77	1742	512	164	149	94	54	1	1	1	1	59	164	38	0	3	22	15	0	0	1	1	0	2729	9	31	9	11	7	15	67	59	12	17	2889	25	3566	559	136	103	91	46	22	0	3	1	0	0	0	4	58	56	71	21	39
asv64	0	332	320	173	1	0	1	239	184	209	124	626	590	246	310	176	170	0	293	1	3	37	35	30	89	161	1	1	0	0	1	0	14	16	19	12	1175	1332	970	0	0	0	0	0	1	17	20	14	3	144	290	73	273	889	17	106	2472	2078	5091	3	1524	6	1	9	22	4	32	110	43	1	2	2	5	0	1	0	0	0	0	0
asv65	0	0	0	4590	1	0	0	1	2	0	11	0	2780	7	2	1745	9571	0	11	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	747	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	558	7	0	89	931	0	3	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
asv66	0	1954	1577	1625	0	4	2	43	238	224	190	1491	2873	1610	1839	1109	1180	1	2849	3	1	3	1	0	0	7	0	0	1	0	0	3	0	3	7	5	159	345	173	1	0	1	2	1	0	3	1	6	3	1	2	4	3	92	151	361	59	28	98	5	261	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	2	3
asv67	0	1004	738	905	0	0	2	121	251	234	120	709	752	609	4461	5032	2794	1	715	0	3	25	19	17	25	77	1	0	0	0	0	1	10	14	3	4	111	202	104	4	0	1	0	0	0	4	10	4	0	3	1	6	4	25	36	205	282	85	101	5	123	0	0	5	4	1	1	2	41	16	1	0	0	0	0	0	2	1	0	0
asv68	2535	4	11	7	18	27	2485	84	32	24	21	17	15	3	6	9	7	2705	8	2594	1044	618	505	493	266	74	2687	1000	102	78	36	7	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	946	0	2	0	1	1	1	1	2	1	1	743	0	563	83	1	0	6	0	1	0	0	0	0	0	0	1	2	0	0	0	0
asv69	0	16	14	16	1958	529	0	148	134	42	29	46	25	10	47	34	10	0	10	2	177	1312	1162	1269	687	352	0	2	5	7680	6	763	5	0	1	0	1	1	1	1	80	311	19	2	0	12	12	13	2	90	48	16	3	9	0	0	1	1	0	3	2	11	21	115	248	240	628	359	6	23	0	0	4	8	0	2	77	799	5	124
asv70	1927	150	132	175	171	268	1294	405	306	269	236	266	247	140	352	278	261	1849	138	1662	649	491	355	517	478	313	1796	692	318	450	317	230	0	0	0	0	18	45	10	0	0	0	1	0	0	0	0	0	723	1	3	3	3	5	10	27	23	6	10	649	9	490	132	4	4	7	0	0	14	0	0	0	0	0	1	3	0	0	5	4
asv71	0	2	7428	0	0	0	1	0	0	0	1	0	0	0	5678	0	0	0	1	0	0	2	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	4767	6	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	1385	0	4	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
asv72	0	1086	117	1897	1	0	2	806	1712	1097	525	490	856	354	1083	979	2654	1	1191	1	1	624	238	0	770	349	0	0	0	0	1	1	19	12	15	24	69	48	92	0	1	1	0	1	0	0	0	0	0	9	26	11	11	16	11	89	39	16	91	0	37	0	1	256	389	4	591	5	0	0	0	0	0	0	0	0	0	2	0	0
asv73	1062	177	156	123	83	243	897	274	342	239	217	246	269	186	483	409	253	1739	168	1257	408	362	289	522	510	223	2496	746	510	573	438	403	0	0	2	0	20	37	8	1	1	3	0	0	0	0	0	1	581	1	5	1	6	3	4	17	17	5	3	428	8	495	83	12	6	7	0	2	0	0	0	0	0	1	0	4	5	5	3	5
asv74	0	8	1	1	426	412	0	0	4	4	0	2	1	0	0	18	66	1	0	5	3	0	0	0	0	1	0	0	0	2	569	331	19	36	35	73	1067	1588	171	65	20	1661	1409	2	3	23	26	31	19	13	11	14	6	16	15	53	96	791	657	14	31	19	5	1	2	2	6	7	14	0	0	18	448	136	1	0	1	6	3768	3313
asv75	0	109	59	236	0	0	0	9	15	13	12	0	0	153	0	91	0	0	0	3	3	0	7	0	1	0	0	0	0	1	0	0	0	1	17	14	888	496	8220	1	2	0	0	0	1	0	0	0	0	0	0	2	3	0	0	3244	1	3856	0	0	7	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
asv76	1473	134	116	162	118	217	1006	272	310	219	204	197	204	139	359	334	213	1641	127	1348	477	400	239	467	424	234	1826	642	416	440	388	309	0	0	0	0	15	60	13	0	0	1	0	0	0	0	0	0	707	3	4	4	5	7	8	36	26	4	14	617	7	386	114	5	2	4	3	1	1	0	0	0	1	0	0	4	3	3	2	4
asv77	0	488	345	411	3289	1	11	439	694	639	258	166	168	193	487	252	358	9	289	6	49	561	518	463	696	447	0	0	13	3	663	3	370	198	335	260	107	184	44	1	20	148	1	0	0	162	132	205	45	80	132	178	94	118	12	194	46	23	30	68	32	98	148	145	227	272	491	195	0	0	5	0	93	0	1	0	4	0	98	1
asv78	0	3	3	10	16	12	9	8	7	5	7	3	14	7	5	7	5	5	10	8	9	6	13	8	8	6	6	6	4	1	4	5	269	551	151	371	10	3	4	26	35	28	25	1	3	830	1172	1245	653	180	99	77	21	12	1	7	3	7	4	733	5	1400	215	120	226	91	134	36	5622	507	436	266	251	123	5	27	13	25	15	20
asv79	0	0	1	2	42	4	1	3	5	7	3	1	1	1	1	0	3	0	0	0	2	9	6	2	8	0	1	0	2	2	6	47	3	3	2	1	2445	1483	1561	1	4	54	32	0	0	9	5	9	6	92	317	288	131	3953	2	15	56	1	4471	8	1	9	10	25	35	39	68	156	4	4	0	1	0	2	0	0	4	9	46	37
asv80	0	1478	1190	1074	1	1	0	358	436	563	375	784	1203	670	1650	788	869	1	1191	0	4	49	21	31	71	171	1	0	0	0	0	0	14	10	9	7	179	353	163	0	0	0	1	1	0	20	11	12	1	97	84	44	21	89	77	315	91	44	110	4	188	3	1	9	5	8	37	120	0	1	0	0	0	0	0	0	0	0	0	0
asv81	0	2	2	2	3	2	2	5	1	2	2	0	0	0	3	2	3	1	1	3	0	2	2	6	3	1	0	1	0	0	0	10	680	430	197	110	326	105	867	16	13	52	93	0	1	842	772	1102	368	184	371	601	386	283	1100	806	1007	407	541	478	307	792	190	75	181	86	139	96	0	5	15	8	1	0	0	1	0	0	2	714
asv82	0	434	199	342	1101	0	0	2	1	17	2	77	87	318	1118	1421	599	0	127	1	0	0	3	1	3	0	1	2	0	0	0	1	0	0	1	2	955	745	516	0	0	226	0	0	0	1	1	1	0	0	0	1	0	11	11	757	1033	1172	2226	2	911	2	0	2	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
asv83	0	1	0	2	0	0	0	0	0	1	0	0	0	3681	0	2	3	0	5899	0	2	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3165	1	0	0	0	1050	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
asv84	3	4	0	0	836	541	3	1	1	3	0	0	0	0	2	0	4	4	4	5	5	0	0	4	2	0	0	4	1	3	932	440	0	0	0	1	0	6	3	2	0	1274	2836	1	5	0	1	0	73	0	0	0	0	0	5	4	2	1	0	3	0	6	0	0	0	5	1	0	46	4	2	1	0	0	0	0	1	1	4039	2656
asv85	0	0	0	1	3	0	3	1	0	3	4	1	0	0	2	1	1	1	2	2	0	6	3	8	2	1	4	0	0	0	0	0	71	90	53	217	0	0	1	49	231	0	1	0	0	515	802	801	322	17	7	3	4	0	1	1	1	0	0	436	1	755	101	22	25	19	20	19	2818	137	620	891	3367	871	0	6	4	1	1	1
asv86	0	24	77	21	0	0	0	2	0	0	0	1	0	1	0	55	0	0	85	0	0	0	2	0	4	0	0	2	0	1	0	0	0	3	0	0	3346	1767	2192	0	0	0	0	0	0	6	4	3	3	1	0	1	0	0	0	0	0	2199	0	6	3281	1	3	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0
asv87	0	49	43	59	0	0	0	371	2453	1211	373	1360	635	87	352	95	109	0	104	0	0	1	1	0	1	57	0	1	1	0	1	0	1	0	0	2	3	5	0	0	0	0	0	0	0	2	2	4	1	184	2387	1674	546	533	342	8	7	2	1	1	4	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
asv88	0	6	1	0	2	0	4	2	0	0	4	1	2	1	3	1	1	3	2	1	4	5	2	4	1	1	1	0	0	0	0	0	751	2062	207	551	30	41	27	2	0	1	0	0	0	1667	2044	2496	530	49	31	17	16	13	13	5	5	9	0	769	1	1139	148	43	74	37	47	43	75	0	0	1	0	0	1	0	1	0	0	0
asv89	1437	84	74	113	81	158	860	173	227	168	144	165	161	98	233	201	150	1255	97	1134	459	432	279	394	373	200	1388	528	249	222	186	169	0	0	0	0	1	13	5	0	0	0	0	1	0	0	1	0	357	0	2	2	0	5	9	8	13	11	7	313	4	263	65	2	3	2	1	1	0	0	0	0	0	0	0	2	0	0	0	1
asv90	3	0	0	18	2	1	1	2	0	0	1	1	1	4	0	2	2	0	1	1	1	1	5	5	3	1	1	2	1	0	0	0	16	31	14	19	1742	1433	3500	1	0	0	1	1	1	0	0	3	1	24	52	19	9	1	0	457	39	2485	658	0	1547	7	0	2	1	1	0	0	0	0	1	0	2	1	0	0	0	1	2	1
asv91	0	694	560	110	15	12	8	13	13	23	11	40	102	404	167	282	527	3	906	5	3	8	3	5	6	8	0	1	0	0	0	5	508	746	298	339	536	408	459	49	32	117	57	1	0	446	416	557	185	66	83	72	17	138	2	509	2	214	227	255	351	515	16	8	8	12	17	35	11	2	5	0	0	3	0	1	1	0	1	70
asv92	0	538	548	597	0	0	2	1092	1210	763	465	278	304	456	992	1609	330	1	494	1	5	42	41	40	143	385	0	0	64	0	0	0	0	1	1	1	54	98	30	0	1	0	1	1	0	15	11	16	5	26	18	13	14	12	60	146	174	77	27	8	46	12	0	11	9	11	10	207	49	0	0	2	1	0	0	0	17	1	0	0
asv93	0	571	527	636	0	0	0	586	1233	1308	893	982	1477	426	743	891	319	0	472	2	1	4	3	8	13	107	0	0	0	0	0	0	0	0	1	0	11	8	1	0	1	0	0	0	1	1	1	0	0	1	9	16	3	7	10	37	3	2	2	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv94	0	540	498	600	0	0	0	540	728	617	302	576	554	314	1082	942	966	0	526	0	2	10	5	6	33	254	0	0	2	0	0	0	0	0	1	1	150	381	120	0	0	1	1	0	0	6	8	20	2	83	41	35	29	202	122	343	276	78	106	2	119	5	1	1	0	2	3	0	0	0	0	0	0	0	1	0	0	0	2	1
asv95	0	462	392	374	1013	479	4	450	522	536	246	463	509	361	815	285	614	10	472	13	6	120	88	74	197	238	2	0	1	0	1494	0	6	1	2	4	18	57	13	3	5	0	0	0	0	133	140	185	31	0	5	4	3	21	15	70	17	3	26	32	16	29	0	0	1	0	5	2	8	0	0	0	0	0	0	0	1	0	3	0
asv96	0	8	1	1309	0	0	0	0	0	1506	7	5	1794	541	2074	1	0	0	1468	0	0	1	0	6	1	0	1	0	0	1	0	0	2	0	0	0	1	1	252	2	0	1	1	0	0	0	0	0	1	0	2	89	1	0	222	372	395	0	2	0	246	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
asv97	0	20	14	30	0	1	0	8	0	2	3	0	3	21	0	36	13	0	6	0	0	0	4	3	1	0	0	0	0	1	0	0	10	9	10	4	523	250	4808	0	2	0	0	0	0	0	2	1	0	372	214	168	296	0	44	1772	50	358	458	0	414	0	0	1	0	0	2	0	0	0	0	0	1	0	1	1	0	0	0	0
asv98	0	4	1	2	7	7	3	128	29	28	22	12	2	0	2	4	4	12	1	9	380	245	226	124	128	175	3	36	4	3	19	15	0	0	0	0	4	5	15	0	0	13	19	0	1	590	626	962	97	622	128	66	39	19	0	8	12	2	2	161	10	236	830	602	512	619	1070	516	204	52	37	2	2	0	0	32	14	25	54	36
asv99	0	1234	977	16	0	0	0	0	2	2	0	5	211	386	398	1451	4835	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	26	72	2	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	5	43	12	23	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
asv100	1	0	1	1	4	1	3	0	0	0	2	0	1	0	1	0	0	3	0	2	3	1	1	2	0	2	0	0	1	0	1	0	369	928	150	295	0	0	0	0	0	0	0	0	0	1247	1592	2134	566	4	1	2	1	1	0	0	1	0	0	718	0	1453	124	5	13	15	14	3	0	0	0	3	2	1	0	0	0	0	0	0
asv101	0	12	6	13	101	113	1	28	47	39	9	2	8	6	11	16	8	3	12	2	1	5	8	6	3	6	1	0	0	1	220	154	38	69	18	40	97	124	102	224	63	133	57	2	1	428	530	624	219	296	299	522	236	330	80	115	83	45	118	277	80	547	29	7	13	11	12	19	43	15	100	323	1150	248	2	1	0	6	585	246
asv102	0	195	166	284	3	0	2	1	1	1	1	6	21	6	160	97	221	0	16	0	0	4	1	1	2	1	0	0	2	0	0	0	116	251	74	150	579	1090	430	0	0	13	17	0	1	535	573	851	266	39	59	73	40	111	14	190	62	325	864	379	281	658	45	10	7	6	20	18	66	0	0	0	0	1	0	0	0	0	0	0
asv103	0	363	249	370	0	1	0	459	927	1049	299	6	1910	748	772	247	108	0	242	0	0	1	0	2	22	169	0	0	0	0	0	0	15	10	4	2	531	55	75	0	0	1	0	0	0	0	0	0	0	6	50	9	2	0	48	28	7	73	64	0	299	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
asv104	0	421	498	459	32	0	3	415	353	386	192	143	406	228	1118	685	697	12	431	6	40	215	177	182	227	178	0	0	0	0	14	90	10	12	10	4	41	68	74	0	37	0	0	0	0	149	167	205	22	46	40	23	18	76	44	68	52	25	31	32	42	53	7	8	20	16	32	35	14	0	0	2	0	0	0	0	0	0	1	0
asv105	823	75	64	92	78	128	535	208	156	148	118	170	164	83	198	163	121	905	70	766	267	293	152	244	219	154	940	352	299	293	237	148	0	0	0	0	3	13	1	0	0	0	0	0	0	0	0	0	134	0	1	0	0	2	6	6	3	2	1	120	3	67	27	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3
asv106	0	477	376	431	0	0	0	295	249	298	151	270	427	300	694	312	329	7	490	4	23	144	111	108	178	219	0	0	0	0	0	0	16	11	1	4	310	561	417	21	0	0	0	0	1	153	155	201	34	3	12	27	11	54	26	392	225	60	87	43	291	41	1	0	0	0	1	2	0	2	0	0	0	1	1	0	0	0	0	0
asv107	0	22	8	20	0	0	0	0	0	9	1	1	6	10	28	15	41	0	43	0	4	0	0	0	0	0	0	0	0	0	0	1666	0	0	0	2	0	0	0	0	1	0	4	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	4	0	1	0	0	0	1	1	6922
asv108	0	1	0	1	502	187	0	0	2	2	0	0	1	0	0	18	2	0	0	0	4	0	1	0	0	0	0	0	0	0	218	284	13	15	23	46	467	541	122	8	10	1235	684	1	2	13	8	14	4	3	5	3	3	4	4	29	55	336	325	8	11	42	1	0	2	0	2	4	0	1	11	9	105	48	1	0	0	6	1304	2034
asv109	0	9	13	17	0	0	0	98	111	74	39	31	13	6	15	38	5	0	4	0	11	27	36	26	93	484	0	0	0	0	0	4	15	4	3	3	8	97	0	0	4655	0	0	0	0	1	1	2	1	36	24	21	18	13	212	69	7	29	89	0	34	1	47	329	693	299	460	357	6	0	0	1	0	0	0	0	0	1	0	0
asv110	0	3467	1	0	0	2	1	0	7	0	0	95	50	386	2456	3	1169	0	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	271	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	7	1	226	347	1	88	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
asv111	0	210	145	147	0	0	0	671	486	396	455	801	153	262	190	454	127	0	228	0	57	132	177	106	399	720	0	0	0	0	0	0	4	2	1	1	8	13	5	0	0	0	0	0	0	5	0	1	0	0	7	10	10	28	35	59	2	1	35	1	13	0	29	277	629	332	384	163	0	3	0	2	0	0	0	0	0	1	0	1
asv112	0	465	456	526	0	0	1	384	605	547	265	291	249	232	1522	1089	522	0	322	0	0	3	3	5	37	111	0	0	0	0	0	0	10	0	9	10	16	80	25	0	0	0	1	0	0	1	4	2	0	15	13	11	4	38	7	84	55	13	7	1	18	0	0	0	3	1	8	52	0	0	1	0	0	0	0	0	0	0	0	0
asv113	0	3	5	5	1	0	0	0	0	1	0	0	2	0	2	39	7	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	2	2	2	522	2	1	0	0	0	0	0	0	0	4	2	0	0	2	0	0	0	0	28	0	3642	3560	0	210	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
asv114	0	381	0	1941	0	0	0	1	0	0	0	0	0	0	0	2386	1044	0	2159	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	6	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv115	0	179	324	12	0	1	1	731	493	2	270	290	10	16	94	261	19	0	1	0	0	2	0	0	237	804	0	0	0	1	0	0	4	0	0	0	13	17	5	0	0	0	0	0	0	0	1	0	0	1064	721	12	69	46	0	4	4	4	19	0	0	0	0	1	0	0	4	2248	20	0	0	0	0	2	0	0	0	0	0	0
asv116	0	5	1	4	1881	1	9	11	131	91	36	18	5	8	4	3	1	3	1	2	17	81	102	68	97	143	2	0	0	0	2	1	1247	663	73	51	7	3	2	1749	0	180	0	0	0	80	85	100	26	9	21	27	7	509	4	3	1	1	4	30	1	61	20	9	35	17	10	23	117	1	18	0	0	0	0	0	1	0	0	1
asv117	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	5	0	0	0	1	0	1	0	0	0	0	0	1	0	1	2777	1869	729	620	0	0	0	0	0	0	0	0	0	325	369	465	151	0	1	0	0	0	0	0	0	0	0	166	0	341	49	5	10	6	10	6	0	3	0	0	0	0	0	0	0	1	0	0
asv118	0	0	1	0	0	0	0	0	2	0	4	0	0	0	0	0	0	2	0	1	1	1	2	1	3	2	2	0	1	0	0	1	635	945	510	671	0	0	0	10	2	2	0	1	0	722	712	891	491	12	12	3	1	0	0	0	0	0	0	635	0	1222	68	9	10	11	19	22	29	0	45	113	28	4	0	0	0	0	0	0
asv119	1	339	111	683	0	0	0	2	0	0	1	0	2127	200	949	2597	86	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	90	76	106	83	46	14	27	1	1	0	0	0	0	1	2	1	0	0	0	0	0	0	146	49	16	5	2	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
asv120	0	212	182	171	0	440	18	440	492	450	202	177	161	101	290	381	242	25	164	14	46	336	233	225	451	318	1	0	0	1	0	0	0	0	0	0	40	96	32	0	122	0	3	0	0	326	303	452	56	12	31	27	20	171	22	44	35	16	39	72	14	56	1	0	1	1	3	6	24	0	8	1	0	1	0	0	0	0	0	0
asv121	0	43	34	33	1	0	1	241	521	423	178	156	113	67	17	16	7	3	114	3	418	821	784	653	449	487	1	1	0	0	0	0	1	1	1	4	4	8	3	5	0	0	0	0	0	16	8	19	6	47	30	12	3	17	9	24	0	0	1	2	6	1	57	246	521	525	347	125	1	6	0	0	0	0	0	1	0	0	0	0
asv122	249	18	29	24	25	20	130	20	44	33	31	36	32	23	68	41	22	256	22	134	50	51	23	57	37	28	279	83	55	69	49	40	0	0	0	0	18	51	10	0	0	10	14	0	0	0	0	0	1085	4	9	4	2	13	5	38	39	9	10	1405	8	2202	311	58	43	17	13	8	0	0	0	0	2	0	1	32	37	37	17	27
asv123	558	64	36	60	48	61	413	108	108	97	66	84	97	56	138	147	82	644	60	610	199	183	95	201	163	92	741	320	162	185	126	103	0	0	0	0	14	53	7	0	0	0	0	0	0	0	0	0	469	2	3	3	0	7	12	22	21	6	10	383	5	287	114	3	1	2	2	3	0	0	0	0	0	0	0	0	1	1	0	2
asv124	9	0	1	1	3	1	6	0	0	1	0	3	1	2	0	4	1	1	2	1	0	3	0	5	2	1	0	0	1	0	1	3	2699	2041	1569	761	3	3	27	1	2	0	2	1	2	48	57	84	16	2	2	3	0	0	1	8	1	4	12	25	6	30	3	1	1	4	0	0	0	2	0	11	1	1	2	0	1	4	1	1
asv125	1	1	2	2	1	1	2	1	4	2	5	2	1	2	4	2	2	6	4	9	1	12	4	5	4	2	0	2	0	1	0	2	714	661	282	512	55	84	35	29	14	2	0	0	0	755	1058	1212	264	21	31	31	29	5	21	30	36	22	20	332	22	348	80	32	51	27	34	15	256	18	47	23	28	3	0	2	1	0	0	1
asv126	0	35	35	13	0	0	0	106	94	105	52	53	26	22	6	3	3	0	32	1	0	58	62	66	100	75	0	1	0	0	0	0	3	2	0	1	470	280	256	1	18	0	0	0	0	18	17	15	1	140	212	571	448	322	493	1522	686	92	278	5	255	1	6	8	24	14	50	158	0	4	0	0	0	0	0	0	0	0	0	1
asv127	0	0	1	0	0	0	2	0	1	0	0	0	0	1	2	0	0	5	0	3	8	3	5	0	1	1	0	0	0	1	0	0	2756	1530	1318	578	0	0	1	0	0	0	0	0	0	263	285	377	41	0	0	1	0	1	0	0	0	0	0	52	0	45	12	5	11	1	5	2	0	0	0	0	0	0	0	0	0	0	0	0
asv128	0	0	7	0	23	3	7	0	0	0	5	1	1	0	3	1	0	3	0	7	2	2	0	18	1	3	3	0	1	0	0	0	486	1126	130	266	16	49	7	2	0	0	0	0	0	887	1158	1325	309	19	18	7	8	5	1	5	3	8	2	436	7	606	89	28	47	27	24	24	0	0	5	30	0	1	0	0	0	0	0	0
asv129	536	30	25	52	23	33	223	57	61	45	45	56	57	33	80	54	37	364	30	285	95	107	50	124	65	49	452	172	79	105	75	61	0	0	0	0	19	41	13	0	0	12	14	0	0	0	1	0	1068	20	9	10	5	14	19	30	32	11	11	877	8	928	233	23	17	25	16	8	0	0	0	0	0	0	0	20	14	22	21	26
asv130	0	2	0	0	0	0	4	0	0	0	2	0	3	0	0	0	1	4	1	1	0	9	5	7	6	2	3	0	1	0	0	0	454	470	279	506	50	27	37	35	10	0	1	0	0	734	719	922	436	37	32	63	58	0	99	26	20	24	30	482	141	967	97	24	25	16	34	4	1	0	0	1	90	29	0	0	0	0	1	0
asv131	0	5	7	7	0	0	0	1	0	0	0	2	0	1	15	12	0	0	2	0	0	0	1	1	1	0	2	0	0	1	0	0	1	0	4	1	284	991	893	0	0	0	0	0	0	0	0	0	2	0	1	7	0	0	0	763	2667	688	110	0	502	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
asv132	0	4	4	3	0	0	1	385	133	285	116	6	8	12	8	0	5	0	0	2	9	323	163	161	594	670	0	0	0	1	0	0	1114	714	482	213	12	21	7	6	0	3	1	0	0	52	57	50	9	66	493	149	69	254	0	1	1	8	2	18	2	16	20	18	33	27	34	43	0	0	0	0	56	1	0	0	0	0	0	0
asv133	0	1	0	0	0	1	0	34	29	30	14	2	2	0	0	0	4	0	1	1	44	129	95	139	114	57	0	2	33	113	48	66	0	0	0	4	0	0	1	5	57	1	3	0	0	19	13	25	7	59	19	8	4	1	0	1	1	1	4	4	1	5	82	69	148	67	138	110	0	1	294	3459	1053	267	0	0	21	10	3	8
asv134	2	1	0	3	0	0	2	3	1	1	1	0	0	0	1	0	0	0	0	3	0	9	3	5	6	0	3	0	0	0	1	0	48	37	22	18	2	2	70	1223	1628	3	0	0	0	176	188	257	131	315	182	87	48	2	1	14	0	122	21	137	6	323	103	70	81	82	294	4	17	1	1160	0	0	0	0	0	0	1	0	0
asv135	0	594	520	898	0	0	0	0	12	8	4	14	60	263	1471	1482	724	0	411	1	0	0	1	2	0	1	0	0	0	0	0	0	11	6	12	8	17	87	29	0	0	0	0	0	0	3	5	4	0	0	0	0	0	0	0	52	26	17	17	1	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
asv136	0	15	13	18	0	0	0	518	274	402	210	514	78	9	28	29	22	0	17	0	2	0	0	1	2	28	1	0	0	0	0	0	3	0	2	3	15	13	36	0	0	0	0	0	0	34	44	62	10	700	167	342	242	2224	93	79	7	138	55	7	174	28	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
asv137	0	13	1	3	0	0	0	10	1	6	0	7	5446	3	19	23	11	0	1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	40	0	0	1	0	0	44	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv138	0	15	14	10	0	0	1	2	1	1	2	2	0	1	1	17	5	0	11	0	0	0	0	1	0	0	0	0	1	2	0	0	1	0	1	0	545	252	1049	0	2	1	0	0	0	0	0	1	0	57	175	442	637	960	1	327	56	332	571	0	995	0	0	1	3	1	4	79	13	0	8	0	0	0	0	0	0	0	0	0
